universidad;candidateId
Certus;630665b8594e18004af04b63
Alas Peruanas;630665b8594e18004af04b69
Universidad César Vallejo​;630665b8594e18004af04b71
Certus;630665b8594e18004af04b77
Universidad Cesar Vallejo;630665b8594e18004af04b7e
Britanico;630665b8594e18004af04b84
Universidad Peruana Los Andes;630665b8594e18004af04b90
Instituto De Formación Bancaria - Ifb;630665b8594e18004af04b9a
Universidad Privada Del Norte;630665b8594e18004af04ba2
Certus;630665b8594e18004af04ba9
Certus;630665b8594e18004af04bb3
Usil;630665b8594e18004af04bbb
Isil;630665b8594e18004af04bbb
Certus;630665b8594e18004af04bc5
Instituto Cibertec;630665b8594e18004af04bcc
Universidad Peruana De Ciencias Aplicadas;630665b8594e18004af04bda
Zegel Ipae;630665b8594e18004af04be1
Instituto Tecnologico De Chile;630665b8594e18004af04be1
Ifb Certus;630665b8594e18004af04bf4
Upn;630665b8594e18004af04bfa
Icpna;630665b8594e18004af04c00
Torre Usil;630665b8594e18004af04c00
Universidad Tecnológica Del Perú;630665b8594e18004af04c08
Universidad Tecnologica Del Peru;630665b8594e18004af04c10
Certus;630665b8594e18004af04c19
Universidad César Vallejo;630665b8594e18004af04c28
Certus;630665b8594e18004af04c2e
Certus;630665b8594e18004af04c35
Universidad Privada Del Norte;630665b8594e18004af04c3d
Ibp  El Buen Pastor;630665b8594e18004af04c45
Cibertec;630665b8594e18004af04c4c
Icpna;630665b8594e18004af04c55
Universidad Tecnológica Del Perú;630665b8594e18004af04c55
Ifb Certus;630665b8594e18004af04c5f
Universidad Cesar Vallejo - Ucv;630665b8594e18004af04c65
Instituto Cibertec;630665b8594e18004af04c6e
Universidad Privada Del Norte;630665b8594e18004af04c77
Cetpro Computec Millenium;630665b8594e18004af04c7f
Universidad Nacional Del Callao - Unac;630665b8594e18004af04c86
Pucp;630665b8594e18004af04c8f
Universidad Autònoma Del Perù;630665b8594e18004af04c96
Instituto Superior Tecnológico Público Julio César Tello;630665b8594e18004af04c96
Instituto De Formación Bancaria - Ifb;630665b8594e18004af04c9d
Universidad Autónoma Del Perú;630665b8594e18004af04ca5
Iep San José De Los Balnearios Del Sur;630665b8594e18004af04ca5
Cesca;630665b8594e18004af04cb1
Isil;630665b8594e18004af04cb8
Universidad Andina Néstor Cáceres Velasquez;630665b8594e18004af04cc1
Icpna;630665b8594e18004af04cc9
Instituto De Formación Bancaria - Ifb;630665b8594e18004af04cc9
Universidad Nacional Federico Villareal;630665b8594e18004af04cd1
Icpna;630665b8594e18004af04cd1
Ipae;630665b8594e18004af04cd8
Jose De San Martin;630665b8594e18004af04cd8
César Vallejo - Lima;630665b8594e18004af04ce2
Universidad Científica Del Sur;630665b8594e18004af04cef
Adex;630665b8594e18004af04cef
Instituto Arzobispo Loayza;630665b8594e18004af04cfb
Universidad Cesar Vallejo;630665b8594e18004af04cfb
Adex Instituto;630665b8594e18004af04d04
Idat;630665b8594e18004af04d0b
Universidad San Ignacio De Loyola - Usil;630665b8594e18004af04d15
Instituto De Formación Bancaria - Ifb Certus;630665b8594e18004af04d15
Universidad San Martin De Porres;630665b8594e18004af04d20
Computronic;630665b8594e18004af04d20
Instituto De Formación Bancaria - Ifb;630665b8594e18004af04d31
Universidad De San Martín De Porres;630665b8594e18004af04d3b
Universidad Nacional De San Agustín;630665b8594e18004af04d41
Unap;630665b8594e18004af04d4b
Instituto De Educación Superior Tecnológico Privado Acip;630665b8594e18004af04d51
Isam;630665b8594e18004af04d5d
Idat;630665b8594e18004af04d63
Universidad San Ignacio De Loyola - Usil;630665b8594e18004af04d6a
Instituto Superior Tecnologico La Oroya;630665b8594e18004af04d79
Universidad Peruana Los Andes;630665b8594e18004af04d81
